OBJECTID_1,Join_Count,TARGET_FID,OBJECTID,Shape_Leng,zone,LocationID,borough,F_id,created_by,name,tourism,FID_1,addr_state,ele,gnis_featu,source,name_zh,addr_city,addr_count,addr_house,addr_postc,addr_stree,internet_a,internet_1,smoking,website,branch,brand,brand_wiki,phone,wikidata,addr_flats,email,nysgissam_,official_n,ref,operator,rooms,wheelchair,old_name,air_condit,bar,operator_t,operator_w,reservatio,wikipedia,alt_name,bathroom_p,check_da_1,fax,check_date,brand_shor,short_name,contact_em,contact_fa,contact_tw,fitness_ce,name_es,contact_we,addr_floor,level,payment_ca,payment_ma,payment_vi,contact_in,dof,payment_co,payment_cr,payment_de,opening_ho,dog,building_l,height,start_date,breakfast,image,facebook,internet_2,toilets_wh,contact_ye,disused_we,contact_ph,contact_pi,descriptio,swimming_p,name_en,name_de,amenity,payment_di,payment_am,payment__1,nysgissa_1,building,year,payment__2,historic,payment_ch,operator_1,pets,country,payment__3,brand_webs,mobile,stars,elementary,note,contact_wh,Shape_Length,Shape_Area,pickup_by_zone_csv_LocationID,pickup_count,pickup_by_zone_csv_Borough,pickup_by_zone_csv_Zone,pickup_by_zone_csv_service_zone,LocationID_1,dropoff_count,Borough_1,Zone_1,service_zone
11,0,10,11,0.079211038959600,Bath Beach,11,Brooklyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22382.377110989488000,0.000264520535040,11,225,Brooklyn,Bath Beach,Boro Zone,11,526,Brooklyn,Bath Beach,Boro Zone
12,0,11,12,0.036661301357900,Battery Park,12,Manhattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5741.595405210317000,0.000041511623673,12,1237,Manhattan,Battery Park,Yellow Zone,12,2116,Manhattan,Battery Park,Yellow Zone
13,1,12,13,0.050281322863100,Battery Park City,13,Manhattan,node/889117109,,Conrad,hotel,node/889117109,,,,,,New York,,102,10282,North End Avenue,,,,https://www.conradnewyork.com/,Downtown,Conrad,Q855525,+1 212-945-0100,,,,,,,Hilton,463,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15934.649694114751000,0.000149358592917,13,26822,Manhattan,Battery Park City,Yellow Zone,13,32352,Manhattan,Battery Park City,Yellow Zone
14,0,13,14,0.175213698053000,Bay Ridge,14,Brooklyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44374.319533931332000,0.001381778264420,14,1702,Brooklyn,Bay Ridge,Boro Zone,14,3956,Brooklyn,Bay Ridge,Boro Zone
15,0,14,15,0.144336222620000,Bay Terrace/Fort Totten,15,Queens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39539.908775380121000,0.000925219395547,15,156,Queens,Bay Terrace/Fort Totten,Boro Zone,15,557,Queens,Bay Terrace/Fort Totten,Boro Zone
16,1,15,16,0.141291873771000,Bayside,16,Queens,node/5281899576,,Best Western,hotel,node/5281899576,,,,,,Bayside,,220-33,11361-3642,Northern Boulevard,,,,https://www.bestwestern.com/en_US/book/hotels-in-bayside/best-western-queens-gold-coast/propertyCode.33157.html,Queens Gold Coast,Best Western,Q830334,+1 718-631-4900,,,,,,33157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42980.406900450820000,0.000871889446182,16,254,Queens,Bayside,Boro Zone,16,945,Queens,Bayside,Boro Zone
17,0,16,17,0.093522632948000,Bedford,17,Brooklyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29992.918464307630000,0.000322957654799,17,3759,Brooklyn,Bedford,Boro Zone,17,6387,Brooklyn,Bedford,Boro Zone
18,0,17,18,0.069799549856900,Bedford Park,18,Bronx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22565.339496123885000,0.000148850163948,18,865,Bronx,Bedford Park,Boro Zone,18,1322,Bronx,Bedford Park,Boro Zone
19,0,18,19,0.101824875452000,Bellerose,19,Queens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32088.707039602643000,0.000546661094782,19,352,Queens,Bellerose,Boro Zone,19,706,Queens,Bellerose,Boro Zone
20,0,19,20,0.051440192436200,Belmont,20,Bronx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17117.054627681075000,0.000134512633032,20,461,Bronx,Belmont,Boro Zone,20,1154,Bronx,Belmont,Boro Zone
21,0,20,21,0.115973569062000,Bensonhurst East,21,Brooklyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33924.406823567850000,0.000380251345507,21,433,Brooklyn,Bensonhurst East,Boro Zone,21,941,Brooklyn,Bensonhurst East,Boro Zone
22,0,21,22,0.126170229196000,Bensonhurst West,22,Brooklyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37140.171573810214000,0.000472062684608,22,584,Brooklyn,Bensonhurst West,Boro Zone,22,1396,Brooklyn,Bensonhurst West,Boro Zone
23,2,22,23,0.290556028962000,Bloomfield/Emerson Hill,23,Staten Island,node/10213036731,,Fairfield Inn & Suites,hotel,node/10213036731,NY,,,,,Staten Island,,290,10314,Wild Avenue,,,,https://www.marriott.com/nycfd,New York Staten Island,Fairfield Inn & Suites,Q5430314,,,,,,Fairfield Inn & Suites by Marriott,NYCFD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94031.871488952020000,0.002195565762010,23,14,Staten Island,Bloomfield/Emerson Hill,Boro Zone,23,110,Staten Island,Bloomfield/Emerson Hill,Boro Zone
24,0,23,24,0.046999961928700,Bloomingdale,24,Manhattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10180.641896584235000,0.000060723573775,24,11318,Manhattan,Bloomingdale,Yellow Zone,24,13172,Manhattan,Bloomingdale,Yellow Zone
25,2,24,25,0.047145819931900,Boerum Hill,25,Brooklyn,node/2019077610,,Nu Hotel,hotel,node/2019077610,,,,,,,,85,11201,Smith Street,,,,https://www.nuhotelbrooklyn.com,,,,+1-718-852-8585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14857.451819269081000,0.000124168267356,25,4525,Brooklyn,Boerum Hill,Boro Zone,25,8055,Brooklyn,Boerum Hill,Boro Zone
26,0,25,26,0.123547807070000,Borough Park,26,Brooklyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39247.228832910725000,0.000534039927626,26,773,Brooklyn,Borough Park,Boro Zone,26,1673,Brooklyn,Borough Park,Boro Zone
27,0,26,27,0.202508808518000,Breezy Point/Fort Tilden/Riis Beach,27,Queens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65960.508934597179000,0.001340887627460,27,12,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,27,81,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone
28,0,27,28,0.097960782214000,Briarwood/Jamaica Hills,28,Queens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30082.335003007684000,0.000291203927662,28,913,Queens,Briarwood/Jamaica Hills,Boro Zone,28,2061,Queens,Briarwood/Jamaica Hills,Boro Zone
29,0,28,29,0.071408312773300,Brighton Beach,29,Brooklyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21058.800699537882000,0.000201673837402,29,547,Brooklyn,Brighton Beach,Boro Zone,29,979,Brooklyn,Brighton Beach,Boro Zone
30,0,29,30,0.094509766979300,Broad Channel,30,Queens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30269.439552707012000,0.000145862107626,30,4,Queens,Broad Channel,Boro Zone,30,57,Queens,Broad Channel,Boro Zone
31,0,30,31,0.096424566651600,Bronx Park,31,Bronx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32410.121822466903000,0.000333975927329,31,90,Bronx,Bronx Park,Boro Zone,31,405,Bronx,Bronx Park,Boro Zone
32,0,31,32,0.054267216010000,Bronxdale,32,Bronx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17426.151482225476000,0.000150879171971,32,548,Bronx,Bronxdale,Boro Zone,32,839,Bronx,Bronxdale,Boro Zone
33,0,32,33,0.053270293196700,Brooklyn Heights,33,Brooklyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19458.105270724813000,0.000147416802448,33,5467,Brooklyn,Brooklyn Heights,Boro Zone,33,11808,Brooklyn,Brooklyn Heights,Boro Zone
34,0,33,34,0.065705932354500,Brooklyn Navy Yard,34,Brooklyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41149.228926144540000,0.000173946146651,34,946,Brooklyn,Brooklyn Navy Yard,Boro Zone,34,1022,Brooklyn,Brooklyn Navy Yard,Boro Zone
35,0,34,35,0.085787918592000,Brownsville,35,Brooklyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27300.772762781784000,0.000323825195932,35,2362,Brooklyn,Brownsville,Boro Zone,35,2783,Brooklyn,Brownsville,Boro Zone
36,0,35,36,0.087050786706300,Bushwick North,36,Brooklyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26405.680208553847000,0.000247666139269,36,3318,Brooklyn,Bushwick North,Boro Zone,36,5275,Brooklyn,Bushwick North,Boro Zone
37,1,36,37,0.142810040466000,Bushwick South,37,Brooklyn,node/9765590687,,Marina Hotel,hotel,node/9765590687,,,,,,,,1494,,Broadway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44368.076629164410000,0.000452062644782,37,5642,Brooklyn,Bushwick South,Boro Zone,37,8755,Brooklyn,Bushwick South,Boro Zone
38,0,37,38,0.083217568523400,Cambria Heights,38,Queens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26168.273056331356000,0.000327392684821,38,379,Queens,Cambria Heights,Boro Zone,38,978,Queens,Cambria Heights,Boro Zone
39,0,38,39,0.132369620757000,Canarsie,39,Brooklyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43872.482173502751000,0.000900282938620,39,2817,Brooklyn,Canarsie,Boro Zone,39,3538,Brooklyn,Canarsie,Boro Zone
40,0,39,40,0.051850664876200,Carroll Gardens,40,Brooklyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16689.277804603018000,0.000108949211644,40,1459,Brooklyn,Carroll Gardens,Boro Zone,40,3875,Brooklyn,Carroll Gardens,Boro Zone
41,2,40,41,0.052793109453000,Central Harlem,41,Manhattan,node/4213565912,,Efuru Guest House,hotel,node/4213565912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16603.223460020621000,0.000143093037737,41,16451,Manhattan,Central Harlem,Boro Zone,41,24863,Manhattan,Central Harlem,Boro Zone
42,0,41,42,0.092709227461600,Central Harlem North,42,Manhattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28103.648668304075000,0.000263896952605,42,12045,Manhattan,Central Harlem North,Boro Zone,42,19279,Manhattan,Central Harlem North,Boro Zone
43,0,42,43,0.099738618357600,Central Park,43,Manhattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32721.121889262897000,0.000379662912054,43,57295,Manhattan,Central Park,Yellow Zone,43,42681,Manhattan,Central Park,Yellow Zone
44,0,43,44,0.235688967594000,Charleston/Tottenville,44,Staten Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85090.137477350043000,0.001944656491920,44,1,Staten Island,Charleston/Tottenville,Boro Zone,44,19,Staten Island,Charleston/Tottenville,Boro Zone
45,3,44,45,0.045906862623500,Chinatown,45,Manhattan,node/2826494992,,Hotel91,hotel,node/2826494992,NY,,,,,New York,,91,10002,East Broadway,wlan,no,no,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12771.842987831647000,0.000091359468856,45,8723,Manhattan,Chinatown,Yellow Zone,45,12838,Manhattan,Chinatown,Yellow Zone
46,0,45,46,0.134475429879000,City Island,46,Bronx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94401.424703879762000,0.000926391677672,46,81,Bronx,City Island,Boro Zone,46,189,Bronx,City Island,Boro Zone
47,0,46,47,0.089827556329400,Claremont/Bathgate,47,Bronx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29972.775582296050000,0.000163198117339,47,791,Bronx,Claremont/Bathgate,Boro Zone,47,954,Bronx,Claremont/Bathgate,Boro Zone
48,7,47,48,0.043746744143100,Clinton East,48,Manhattan,node/1821451551,,YOTEL,hotel,node/1821451551,NY,,,,,New York,US,570,10036,10th Avenue,wlan,customers,,https://www.yotel.com/en/hotels/yotel-new-york,Times Square,YOTEL,Q8046002,+1 646-449-7700,,,newyork.contact@yotel.com,,,,,,,,,,,,,,,partial,2024-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14172.635894727980000,0.000094253842538,48,93463,Manhattan,Clinton East,Yellow Zone,48,90713,Manhattan,Clinton East,Yellow Zone
49,0,48,49,0.075290018342700,Clinton Hill,49,Brooklyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23970.536579982825000,0.000203185525471,49,3605,Brooklyn,Clinton Hill,Boro Zone,49,7281,Brooklyn,Clinton Hill,Boro Zone
50,1,49,50,0.055747986753600,Clinton West,50,Manhattan,node/1873813874,,Ink 48 Hotel,hotel,node/1873813874,NY,,,,,New York,US,653,10036,11th Avenue,wlan,,no,https://www.ink48.com/,,MCR Hotels,,+1 212 757 0088,,,,,,,,222,,,yes,yes,,,,,,,,+1 212 757 2088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29335.221145976655000,0.000173249283326,50,29119,Manhattan,Clinton West,Yellow Zone,50,42911,Manhattan,Clinton West,Yellow Zone
51,0,50,51,0.095361344227700,Co-Op City,51,Bronx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30342.911694677012000,0.000395756553505,51,1318,Bronx,Co-Op City,Boro Zone,51,1567,Bronx,Co-Op City,Boro Zone
52,0,51,52,0.028907671009300,Cobble Hill,52,Brooklyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9374.460978428735000,0.000045202750960,52,1497,Brooklyn,Cobble Hill,Boro Zone,52,3054,Brooklyn,Cobble Hill,Boro Zone
53,2,52,53,0.161500913385000,College Point,53,Queens,node/11954802577,,Hotel de Point,hotel,node/11954802577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59482.905382982841000,0.000947530980821,53,267,Queens,College Point,Boro Zone,53,832,Queens,College Point,Boro Zone
54,0,53,54,0.076219244855400,Columbia Street,54,Brooklyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23712.332766438103000,0.000132452130536,54,464,Brooklyn,Columbia Street,Boro Zone,54,1009,Brooklyn,Columbia Street,Boro Zone
55,0,54,55,0.149956807524000,Coney Island,55,Brooklyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49184.519893152268000,0.000736274713586,55,1288,Brooklyn,Coney Island,Boro Zone,55,1795,Brooklyn,Coney Island,Boro Zone
56,0,55,56,0.056847812667700,Corona,56,Queens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17669.451167249463000,0.000180907844436,56,882,Queens,Corona,Boro Zone,56,2253,Queens,Corona,Boro Zone
57,3,56,57,0.019270504855700,Corona,57,Queens,node/2832426859,,Holiday Inn,hotel,node/2832426859,NY,,,,,,,,11368,,,,,https://holiday-inn-laguardia-airport.new-york-state.net/en/,,Holiday Inn,Q2717882,,,,,,,,,,,Holiday Inn LaGuardia Airport at Citifield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://holiday-inn-laguardia-airport.new-york-state.net/data/Pictures/700x500w/12873/1287357/1287357430/picture-new-york-holiday-inn-laguardia-airport-1.JPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6230.526631638986100,0.000018025980792,57,57,Queens,Corona,Boro Zone,57,120,Queens,Corona,Boro Zone
58,0,57,58,0.059855409485100,Country Club,58,Bronx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32165.100968535815000,0.000204980931361,58,44,Bronx,Country Club,Boro Zone,58,139,Bronx,Country Club,Boro Zone
