LocationID,dropoff_count,Borough,Zone,service_zone
101,547,Queens,Glen Oaks,Boro Zone
122,531,Queens,Hollis,Boro Zone
154,531,Brooklyn,Marine Park/Floyd Bennett Field,Boro Zone
175,528,Queens,Oakland Gardens,Boro Zone
11,526,Brooklyn,Bath Beach,Boro Zone
9,507,Queens,Auburndale,Boro Zone
178,480,Brooklyn,Ocean Parkway South,Boro Zone
183,470,Bronx,Pelham Bay,Boro Zone
73,465,Queens,East Flushing,Boro Zone
31,405,Bronx,Bronx Park,Boro Zone
240,293,Bronx,Van Cortlandt Park,Boro Zone
153,276,Manhattan,Marble Hill,Boro Zone
120,273,Manhattan,Highbridge Park,Boro Zone
46,189,Bronx,City Island,Boro Zone
96,174,Queens,Forest Park/Highland Park,Boro Zone
58,139,Bronx,Country Club,Boro Zone
6,126,Staten Island,Arrochar/Fort Wadsworth,Boro Zone
207,124,Queens,Saint Michaels Cemetery/Woodside,Boro Zone
57,120,Queens,Corona,Boro Zone
206,110,Staten Island,Saint George/New Brighton,Boro Zone
23,110,Staten Island,Bloomfield/Emerson Hill,Boro Zone
221,110,Staten Island,Stapleton,Boro Zone
214,107,Staten Island,South Beach/Dongan Hills,Boro Zone
118,83,Staten Island,Heartland Village/Todt Hill,Boro Zone
27,81,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone
184,77,Bronx,Pelham Bay Park,Boro Zone
172,76,Staten Island,New Dorp/Midland Beach,Boro Zone
8,62,Queens,Astoria Park,Boro Zone
251,58,Staten Island,Westerleigh,Boro Zone
30,57,Queens,Broad Channel,Boro Zone
253,57,Queens,Willets Point,Boro Zone
115,53,Staten Island,Grymes Hill/Clifton,Boro Zone
245,49,Staten Island,West Brighton,Boro Zone
156,43,Staten Island,Mariners Harbor,Boro Zone
59,43,Bronx,Crotona Park,Boro Zone
111,41,Brooklyn,Green-Wood Cemetery,Boro Zone
187,39,Staten Island,Port Richmond,Boro Zone
109,35,Staten Island,Great Kills,Boro Zone
176,32,Staten Island,Oakwood,Boro Zone
84,21,Staten Island,Eltingville/Annadale/Prince's Bay,Boro Zone
44,19,Staten Island,Charleston/Tottenville,Boro Zone
204,16,Staten Island,Rossville/Woodrow,Boro Zone
5,16,Staten Island,Arden Heights,Boro Zone
2,13,Queens,Jamaica Bay,Boro Zone
99,6,Staten Island,Freshkills Park,Boro Zone
105,1,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone
